F_R_NAME,F_R_BREWER,F_Equipment_NOTES,F_Style_name,F_S_CATEGORY,F_S_MIN_OG,F_S_MAX_OG,F_S_MIN_FG,F_S_MAX_FG,F_S_MIN_IBU,F_S_MAX_IBU,F_S_MIN_CARB,F_S_MAX_CARB,F_S_MIN_ABV,F_S_MAX_ABV,F_S_DESCRIPTION,F_S_INGREDIENTS,F_MH_GRAIN_WEIGHT,F_MH_GRAIN_TEMP,F_MH_BOIL_TEMP,F_MH_PH,F_A_AGE,F_R_OG_MEASURED,F_R_FG_MEASURED
Dr Smurto's Golden Ale,BIABrewer.info,Sample Brew-In-A-Bag equipment profile set up for a 50 litre brew pot (diameter of 40cm or 16 inches) using a polyester grain bag to hold the grain.  This profile should be used with the BIAB mash profiles available in the BeerSmith mash profiles area.  The above assumes loose pellet hops and only clear chilled wort transferred from the kettle using no trub management techniques. Experienced brewers should adjust 'Loss to Trub and Chiller' and 'Brewhouse Efficiency' accordingly to suit their trub management techniques.,American Pale Ale,Pale American Ale,1.045,1.06,1.01,1.015,30,50,2.3,3,4.5,6.2,A pale refreshing and hoppy ale yet with sufficient supporting malt to make the beer balanced and drinkable. The clean hop presence can reflect classic or modern American or New World hop varieties with a wide range of characteristics. An average-strength hop-forward pale American craft beer generally balanced to be more accessible than modern American IPAs. History: A modern American craft beer era adaptation of English pale ale reflecting indigenous ingredients (hops malt yeast and water). Prior to the explosion in popularity of IPAs was traditionally the most well-known and popular of American craft beers. Style Comparison: Typically lighter in color cleaner in fermentation by-products and having less caramel flavors than English counterparts. There can be some overlap in color between American pale ale and American amber ale. The American pale ale will generally be cleaner have a less caramelly malt profile less body and often more finishing hops. Less bitterness in the balance and alcohol strength than an American IPA. More balanced and drinkable and less intensely hop-focused and bitter than session-strength American IPAs (aka Session IPAs).,Pale ale malt typically North American two-row. American or New World hops with a wide range of allowable characteristics. American or English ale yeast (neutral to lightly fruity). Specialty grains may add character and complexity but generally make up a relatively small portion of the grist. Grains that add malt flavor and richness light sweetness and toasty or bready notes are often used (along with late hops) to differentiate brands.,178.133508,72,212,5.2,0,1.047,1.01
Brulosopher's Best Blonde Ale,Bright Spot Brewing,,Blonde Ale,Pale American Ale,1.038,1.054,1.008,1.013,15,28,2.4,3,3.8,5.5,Easy-drinking approachable malt-oriented American craft beer often with interesting fruit hop or character malt notes. Well-balanced and clean is a refreshing pint without aggressive flavors. History: An American craft beer style produced by many microbreweries and brewpubs particularly those who cannot produce lagers. Regional variations exist (many US West Coast brewpub examples are more assertive like pale ales) but in most areas this beer is designed as the least challenging beer in their lineup. Style Comparison: Typically has more flavor than American Lagers and Cream Ales. Less bitterness than an American Pale Ale.,Generally all malt but can include up to 25% wheat malt and some sugar adjuncts. Any hop variety can be used. Clean American lightly fruity English or Kölsch yeast. May also be made with lager yeast or cold-conditioned. Some versions may have honey spices and/or fruit added although if any of these ingredients are stronger than a background flavor they should be entered in those specialty categories instead.,156,81,212,5.4,30,1.05,1.01
Yeti Clone Ver 2.0,,Popular 10 gallon setup for all grain brewing.  Uses a 10 gallon water cooler as mash tun for single infusion mashes and a 15 gallon brew pot for full size boil of the 12+ gallons of wort.,Imperial Stout,American Porter and Stout,1.075,1.115,1.018,1.03,50,90,2.2,2.8,8,12,An intensely-flavored big dark ale with a wide range of flavor balances and regional interpretations. Roasty-burnt malt with deep dark or dried fruit flavors and a warming bittersweet finish. Despite the intense flavors the components need to meld together to create a complex harmonious beer not a hot mess. History: A style with a long although not necessarily continuous heritage. Traces roots to strong English porters brewed for export in the 1700s and said to have been popular with the Russian Imperial Court. After the Napoleonic wars interrupted trade these beers were increasingly sold in England. The style eventually all but died out until being popularly embraced in the modern craft beer era both in England as a revival and in the United States as a reinterpretation or re-imagination by extending the style with American characteristics. Style Comparison: Like a black barleywine with every dimension of flavor coming into play. More complex with a broader range of possible flavors than lower-gravity stouts.,Well-modified pale malt with generous quantities of roasted malts and/or grain. May have a complex grain bill using virtually any variety of malt. Any type of hops may be used. American or English ale yeast.,313.547507,72,212,5.4,90,1.09,1.005
Muddy Pig Oatmeal Stout,Brian Smith,Simple Brew Pot with a 5 Gallon Capacity - leaving a workable boil volume of around 4.25 gal.  Used for extract or partial mash brewing.,Oatmeal Stout,Dark British Beer,1.045,1.065,1.01,1.018,25,40,2.4,2.9,4.2,5.9,A very dark full-bodied roasty malty ale with a complementary oatmeal flavor. The sweetness balance and oatmeal impression can vary considerably. History: A variant of nourishing or invalid stouts of the late 1800s using oatmeal in the grist similar to the development of sweet stout that used lactose. An original Scottish version used a significant amount of oat malt. Later went through a shady phase where some English brewers would throw a handful of oats into their parti-gyled stouts in order to legally produce a ‘healthy’ Oatmeal Stout for marketing purposes. Most popular in England between the World Wars was revived in the craft beer era for export which helped lead to its adoption as a popular modern American craft beer style that uses a noticeable (not symbolic) quantity of oats. Style Comparison: Most are like a cross between an Irish Extra Stout and a Sweet Stout with oatmeal added. Several variations exist with the sweeter versions more like a Sweet Stout with oatmeal instead of lactose and the drier versions more like a more nutty flavorful Irish Extra Stout. Both tend to emphasize the body and mouthfeel.,Pale caramel and dark roasted malts (often chocolate) and grains. Oatmeal or malted oats (5-20% or more) used to enhance fullness of body and complexity of flavor. Hops primarily for bittering. Can use brewing sugars or syrups. English ale yeast.,24.000051,72,212,5.4,30,1.063,1.015
Bruery Rugbrod,,,Roggenbier (German Rye Beer),German Wheat and Rye Beer,1.046,1.056,1.01,1.014,10,20,2.5,2.9,4.5,6,"A Dunkelweizen made with malted rye rather than wheat but with substantial body and finishing hops.  Brewed originally in Regensburg Bavaria. American style ryes should be put in ""Specialty beer"" instead.",More than 50% malted rye. May use pale munich wheat crystal and small amounts of dark malts. Weizen yeast. Light use of noble hops. Lower fermentation temps. Decoction mash.,232.32,72,212,5.4,28,1.01,1.005
Oskar Blues G'Knight/Gordon,,,American Amber Ale,American Ale,1.045,1.06,1.01,1.015,25,45,2.3,2.8,4.5,6,Variation of the American Pale Ale style from the West Coast.  Slightly darker in color and more caramel flavor than American Pale.,American 2-row Pale Malt. Medium to dark crystal malt. American hops - often citrusy.  Dry hopping for aroma.  American ale yeast. Water may vary in sulfate and carbonate.,280.64,72,212,5.4,28,1.079,1.014
Deschutes Black Butte Porter,,,Robust Porter,Porter,1.05,1.065,1.012,1.016,25,45,1.8,2.5,4.8,6,Stronger darker version of porter with a slight dryness.  Flavor derived from chocolate and black malts but lacks the strong roasted flavor of a dry stout.,English malt. Dark Crystal chocolate and black or roast malt. Traditional english ale hops and yeast.  Moderate carbonate water.,222.88,72,212,5.4,28,1.01,1.005
Anderson Valley Boont Amber,,,American Amber Ale,American Ale,1.045,1.06,1.01,1.015,25,45,2.3,2.8,4.5,6,Variation of the American Pale Ale style from the West Coast.  Slightly darker in color and more caramel flavor than American Pale.,American 2-row Pale Malt. Medium to dark crystal malt. American hops - often citrusy.  Dry hopping for aroma.  American ale yeast. Water may vary in sulfate and carbonate.,203.52,72,212,5.4,28,1.01,1.005
Rogue Shakespeare Stout,,,Oatmeal Stout,Stout,1.048,1.065,1.01,1.018,25,45,1.9,2.5,4.2,5.9,Oatmeal variation of sweet stout. Adds body flavor and complexity.  Mild roast grain aroma with coffee like flavor.  Oatmeal must be mashed to fully develop its flavor.,English malt. Caramel Chocolate Black patent and flaked Oatmeal (5-10%). English hops and yeast.  Carbonate water to add hardness.,230.72,72,212,5.4,28,1.01,1.005
8 Wired Stout,,,Russian Imperial Stout,Barleywine &Imperial Stout,1.075,1.1,1.018,1.034,50,95,1.5,2.4,8,13,"Robust strong malty beer brewed for export to Russia. Burnt ""currant"" flavor.  Alcoholic and well aged.",Lots of pale malt and  roasted malt. English hops. Slightly alkaline water.,411.68,72,212,5.4,28,1.01,1.005
Deschutes Mirror Pond,,,American Pale Ale,American Pale Ale,1.045,1.056,1.01,1.015,20,40,2.3,2.8,4.5,5.7,Lighter in color than English Pale Ale and distinguished by the use of American hops which have higher bitterness and aroma than English counterparts.,American 2-row Pale Malt. Crystal malt. American hops.  Dry hopping for aroma.  American ale yeast.,201.76,72,212,5.4,28,1.01,1.005
Firestone Walker - Walker's Reserve,,,American Stout,Stout,1.05,1.075,1.01,1.022,35,75,2.3,2.9,5,7,Hoppy bitter roasted Foreign Style Stout.  Often has a roast coffee or dark chocolate character. May vary slightly in hops malt profile sweetness and flavor but with a bold roast and hoppy flavor.,American base malts hops and yeasts.  Variety of caramel malts dark and roasted malts.  Oatmeal flaked barley or similar adjuncts as appropriate.,227.2,72,212,5.4,168,1.01,1.005
Stone Levitation,,,American Amber Ale,American Ale,1.045,1.06,1.01,1.015,25,45,2.3,2.8,4.5,6,Variation of the American Pale Ale style from the West Coast.  Slightly darker in color and more caramel flavor than American Pale.,American 2-row Pale Malt. Medium to dark crystal malt. American hops - often citrusy.  Dry hopping for aroma.  American ale yeast. Water may vary in sulfate and carbonate.,183.36,72,212,5.4,28,1.01,1.005
Terrapin Wake n Bake,,,American Stout,Stout,1.05,1.075,1.01,1.022,35,75,2.3,2.9,5,7,Hoppy bitter roasted Foreign Style Stout.  Often has a roast coffee or dark chocolate character. May vary slightly in hops malt profile sweetness and flavor but with a bold roast and hoppy flavor.,American base malts hops and yeasts.  Variety of caramel malts dark and roasted malts.  Oatmeal flaked barley or similar adjuncts as appropriate.,345.76,72,212,5.4,28,1.01,1.005
Avery Maharaja,,,Imperial IPA,India Pale Ale (IPA),1.075,1.095,1.012,1.02,60,110,2.2,2.7,7.5,10,"American invention. An intense strong and very hoppy IPA.  Imperial may also refer to ""double"" or ""extra"" IPAs.  Strong body hop flavor and high alcohol content.",Pale ale malt (well modified) American Noble or English hops.  Complex yeast. American yeast may give a slightly fruity palate.  Often a single infusion mash is used.  Water character may vary.,259.52,72,212,5.4,28,1.01,1.005
Stone Arrogant Bastard,,,American IPA,India Pale Ale (IPA),1.056,1.075,1.01,1.018,40,70,2.2,2.7,5.5,7.5,A decidedly hoppy and bitter moderately strong American pale ale. An American version of the historical English style brewed using American ingredients and attitude.,Pale ale malt (well-modified and suitable for single-temperature infusion mashing); American hops; American yeast that can give a clean or slightly fruity profile. Generally all-malt but mashed at lower temperatures for high attenuation. Water character varies from soft to moderately sulfate. Versions with a noticeable Rye character (“RyePA”) should be entered in the Specialty category.,232.32,72,212,5.4,28,1.01,1.005
Stone Old Guardian,,,American Barleywine,Barleywine &Imperial Stout,1.08,1.125,1.02,1.035,50,100,1.5,2.4,8,13,American version of English Barley wine.  More bitter than English counterpart due to American hops. Alcoholic malty and fruity.  Well aged - often a year or more.,Lots of pale malt with moderate caramel malt.  Little or no darker malts. American hops add bitterness. High gravity ale yeast. Moderate to hard water.,375.2,72,212,5.4,28,1.106,1.016
Dogfish Head 120,,,American Barleywine,Barleywine &Imperial Stout,1.08,1.125,1.02,1.035,50,100,1.5,2.4,8,13,American version of English Barley wine.  More bitter than English counterpart due to American hops. Alcoholic malty and fruity.  Well aged - often a year or more.,Lots of pale malt with moderate caramel malt.  Little or no darker malts. American hops add bitterness. High gravity ale yeast. Moderate to hard water.,328,72,212,5.4,28,1.01,1.005
Rogue Dead Guy Ale,,,Mailbock/Helles Bock,Bock,1.064,1.072,1.011,1.018,23,40,2.2,2.7,6.3,7.4,A pale type of bock closer in character to a strong Munich Helles.   Under German law bocks must have a starting gravity of at least 16 plato (1.064).  Brewed in the Spring.,Pale lager malt and/or Vienna malt with some Munich malt. German noble hops for bittering only. German lager yeast. Soft to moderate water hardness.  Decoction typically used.,252,72,212,5.4,28,1.01,1.005
Advantageous Weizenbock,,5 gallon kettle for stovetop extract.,Weizenbock,German Wheat and Rye Beer,1.064,1.09,1.015,1.022,15,30,2.4,2.9,6.5,8,A strong malty fruity wheat-based ale combining the best flavors of a dunkelweizen and the rich strength and body of a bock. Aventinus the world’s oldest top-fermented wheat doppelbock was created in 1907 at the Weisse Brauhaus in Munich using the ‘Méthode Champenoise’ with fresh yeast sediment on the bottom. It was Schneider’s creative response to bottom-fermenting doppelbocks that developed a strong following during these times. A dunkel-weizen beer brewed to bock or doppelbock strength. Now also made in the Eisbock style as a specialty beer. Bottles may be gently rolled or swirled prior to serving to rouse the yeast.,A high percentage of malted wheat is used (by German law must be at least 50% although it may contain up to 70%) with the remainder being Munich- and/or Viennatype barley malts. A traditional decoction mash gives the appropriate body without cloying sweetness. Weizen ale yeasts produce the typical spicy and fruity character. Too warm or too cold fermentation will cause the phenols and esters to be out of balance and may create off-flavors. A small amount of noble hops are used only for bitterness.,160,72,212,5.4,30,1.046,1.01
Advantageous Weizenbock AGK,,5 gallon cooler MLT w/ false bottom 8 or 10 gallon boiler.,Weizenbock,German Wheat and Rye Beer,1.064,1.09,1.015,1.022,15,30,2.4,2.9,6.5,8,A strong malty fruity wheat-based ale combining the best flavors of a dunkelweizen and the rich strength and body of a bock. Aventinus the world’s oldest top-fermented wheat doppelbock was created in 1907 at the Weisse Brauhaus in Munich using the ‘Méthode Champenoise’ with fresh yeast sediment on the bottom. It was Schneider’s creative response to bottom-fermenting doppelbocks that developed a strong following during these times. A dunkel-weizen beer brewed to bock or doppelbock strength. Now also made in the Eisbock style as a specialty beer. Bottles may be gently rolled or swirled prior to serving to rouse the yeast.,A high percentage of malted wheat is used (by German law must be at least 50% although it may contain up to 70%) with the remainder being Munich- and/or Viennatype barley malts. A traditional decoction mash gives the appropriate body without cloying sweetness. Weizen ale yeasts produce the typical spicy and fruity character. Too warm or too cold fermentation will cause the phenols and esters to be out of balance and may create off-flavors. A small amount of noble hops are used only for bitterness.,264,72,212,5.2,30,1.046,1.01
American Wheat Beer,,5 gallon kettle for stovetop extract.,American Wheat or Rye Beer,Light Hybrid Beer,1.04,1.055,1.008,1.013,15,30,2.3,2.6,4,5.5,http://www.bjcp.org/2008styles/style06.html#1d Refreshing wheat or rye beers that can display more hop character and less yeast character than their German cousins. Different variations exist from an easy drinking fairly sweet beer to a dry aggressively hopped beer with a strong wheat or rye flavor.,Clean American ale yeast but also lager. up to 50+% wheat malt. American/noble hops. American Rye Beers can follow the same general guidelines substituting rye for some or all of the wheat.,160,72,212,5.4,28,1.043,1.01
American Wheat Beer AGK,,5 gallon cooler MLT w/ false bottom 8 or 10 gallon boiler.,American Wheat or Rye Beer,Light Hybrid Beer,1.04,1.055,1.008,1.013,15,30,2.3,2.6,4,5.5,http://www.bjcp.org/2008styles/style06.html#1d Refreshing wheat or rye beers that can display more hop character and less yeast character than their German cousins. Different variations exist from an easy-drinking fairly sweet beer to a dry aggressively hopped beer with a strong wheat or rye flavor.,Clean American ale yeast but also lager. up to 50+% wheat malt. American/noble hops. American Rye Beers can follow the same general guidelines substituting rye for some or all of the wheat.,128,72,212,5.4,28,1.043,1.01
Bavarian Hefeweizen,,5 gallon kettle for stovetop extract.,Weizen/Weissbier,German Wheat and Rye Beer,1.044,1.052,1.01,1.014,8,15,2.5,2.9,4.3,5.6,http://www.bjcp.org/2008styles/style15.html#1a A pale spicy fruity refreshing wheat-based ale.  A traditional wheat-based ale originating in Southern Germany that is a specialty for summer consumption but generally produced year-round.,50% -70% malted wheat;the remainder Pilsner malt.Traditional decoction mash.Weizen ale yeasts produce typical spicy & fruity character extreme fermentation temps can affect balance & produce off-flavors.Small amt of noble hops used only for bitterness,160,72,212,5.4,28,1.05,1.012
Bavarian Hefeweizen AGK,,5 gallon cooler MLT w/ false bottom 8 or 10 gallon boiler.,Weizen/Weissbier,German Wheat and Rye Beer,1.044,1.052,1.01,1.014,8,15,2.5,2.9,4.3,5.6,http://www.bjcp.org/2008styles/style15.html#1a A pale spicy fruity refreshing wheat-based ale.   A traditional wheat-based ale originating in Southern Germany that is a specialty for summer consumption but generally produced year-round.,50% -70% malted wheat;the remainder Pilsner malt.Traditional decoction mash.Weizen ale yeasts produce typical spicy & fruity character extreme fermentation temps can affect balance & produce off-flavors.Small amt of noble hops used only for bitterness,152,72,212,5.4,28,1.051,1.012
Dunkelweizen,,5 gallon kettle for stovetop extract.,Dunkelweizen,German Wheat and Rye Beer,1.044,1.056,1.01,1.014,10,18,2.5,2.9,4.3,5.6,http://www.bjcp.org/2008styles/style15.html#1b A moderately dark spicy fruity malty refreshing wheat-based ale.  Reflecting the best yeast and wheat character of a hefeweizen blended with the malty richness of a Munich dunkel.,50%-70%; remainder usually Munich &/or Vienna malt.Traditional decoction mash Weizen ale yeasts produce the typical spicy & fruity character extreme fermentation temps can affect balance & produce off-flavors Small amount of noble hops used for bitterness.,164,72,212,5.4,28,1.054,1.013
Dunkelweizen AGK,,5 gallon cooler MLT w/ false bottom 8 or 10 gallon boiler.,Dunkelweizen,German Wheat and Rye Beer,1.044,1.056,1.01,1.014,10,18,2.5,2.9,4.3,5.6,http://www.bjcp.org/2008styles/style15.html#1b A moderately dark spicy fruity malty refreshing wheat-based ale.  Reflecting the best yeast and wheat character of a hefeweizen blended with the malty richness of a Munich dunkel.,50%-70%; remainder usually Munich &/or Vienna malt.Traditional decoction mash Weizen ale yeasts produce the typical spicy & fruity character extreme fermentation temps can affect balance & produce off-flavors Small amount of noble hops used for bitterness.,164,72,212,5.4,28,1.054,1.013
Head Scratcher India Pale Weizen,,5 gallon kettle for stovetop extract.,American Wheat or Rye Beer,Light Hybrid Beer,1.04,1.055,1.008,1.013,15,30,2.3,2.6,4,5.5,Refreshing wheat or rye beers that can display more hop character and less yeast character than their German cousins. Different variations exist from an easy-drinking fairly sweet beer to a dry aggressively hopped beer with a strong wheat or rye flavor. Dark versions approximating dunkelweizens (with darker richer malt flavors in addition to the color) should be entered in the Specialty Beer category. THE BREWER SHOULD SPECIFY IF RYE IS USED; IF NO DOMINANT GRAIN IS SPECIFIED WHEAT WILL BE ASSUMED.,Clean American ale yeast but also lager. up to 50+% wheat malt. American/noble hops. American Rye Beers can follow the same general guidelines substituting rye for some or all of the wheat. Other base styles (e.g. IPA stout) with a noticeable rye character should be entered in the Specialty Beer category (23).,160,72,212,5.4,30,1.046,1.01
Head Scratcher India Pale Weizen AG,,5 gallon cooler MLT w/ false bottom 8 or 10 gallon boiler.,American Amber Ale,American Pale Ale,1.045,1.056,1.01,1.015,20,40,2.3,2.8,4.5,5.7,Variation of the American Pale Ale style from the West Coast.  Slightly darker in color and more caramel flavor than American Pale.,American 2-row Pale Malt. Medium to dark crystal malt. American hops.  Dry hopping for aroma.  American ale yeast.,164,72,212,5.4,30,1.046,1.01
